Restaurant,Category,SubCategory,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Burger King,Chicken,Nuggets,Chicken Nuggets 6 Piece,290,150,17,3,0,40,460,15,1,0,15
Burger King,Chicken,Nuggets,Chicken Nuggets (10pc),470,260,29,5,0,50,890,34,5,0,21
Burger King,Chicken,Sandwich,Crispy Chicken Jr.,430,250,28,4.5,0,30,760,34,2,4,12
Burger King,Chicken,Tender,Chicken Fries,290,150,17,3,1.5,40,780,18,1,1,16
Burger King,Chicken,Tender,Jalapeno Chicken Fries,300,160,18,3,0,40,950,19,1,1,15
Burger King,Condiment,Bread,Garlic Parmesan Croutons,60,20,2,0,0,0,120,9,0,1,1
Burger King,Condiment,Butter,SunGlow Butter blend - 2 pats,70,70,8,3,0,0,65,0,0,0,0
Burger King,Condiment,Cheese,American Cheese (slice),45,35,4,3,0,10,220,1,0,0,2
Burger King,Condiment,Dressing,Ken's Apple Cider Vinaigrette,210,160,18,2.5,0,10,115,10,0,7,0
Burger King,Condiment,Dressing,Ken's Avocado Ranch Dressing,170,150,17,3,0,15,420,4,0,3,1
Burger King,Condiment,Dressing,Ken's Citrus Caesar Dressing,180,160,18,3.5,0,5,460,4,0,2,2
Burger King,Condiment,Dressing,KEN'S Honey Mustard Dressing (2 oz),270,200,23,3,0,20,510,15,0,14,1
Burger King,Condiment,Dressing,Ken's Lite Honey Balsamic,120,70,7,1,0,0,220,14,0,11,0
Burger King,Condiment,Fruit,Dried Fruit Topping,90,5,0,0,0,0,0,23,2,20,1
